OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-19;-;N_CNTJ;1.33
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-19;-;N_HEI;1.33
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-19;-;N_PAB;1.33
V SY CHA;SY CHA;10:56:30.05;-77:11:41.7;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
V SY CHA;SY CHA;10:56:30.05;-77:11:41.7;106.21HJ.001;2021-01-02;Coronography;B_KS,P0-90;0.4
V SZ CHA;SZ CHA;10:58:16.28;-77:17:17.8;198.C-0209(F);2017-03-21;Coronography;B_H;0.74
V SZ CHA;SZ CHA;10:58:16.28;-77:17:17.8;106.21HJ.001;2020-12-29;Coronography;B_KS,P0-90;0.91
V SZ CHA;SZ CHA;10:58:16.28;-77:17:17.8;106.21HJ.001;2020-12-30;Coronography;B_KS,P0-90;0.65
V TW CHA;TW CHA;10:59:00.18;-77:22:36.0;1104.C-0415(A;2020-01-09;Coronography;B_H;0.55
V TW CHA;TW CHA;10:59:01.71;-77:22:36.0;0103.C-0470(A;2019-11-27;Coronography;B_H;0.65
V TW CHA;TW CHA;10:59:01.71;-77:22:36.0;0103.C-0470(A;2019-11-27;-;B_H;0.65
HEN 3-545;HEN 3-545;10:59:07.47;-77:01:41.1;0102.C-0243(A;2019-01-15;-;B_H;0.61
HEN 3-545;HEN 3-545;10:59:07.47;-77:01:41.1;0102.C-0243(A;2019-01-15;Coronography;B_H;0.61
TW HYA;TW HYA;11:01:51.56;-34:42:09.1;095.C-0273(D);2015-04-01;Coronography;B_H;0.72
TW HYA;TW HYA;11:01:51.56;-34:42:09.1;095.C-0273(A);2015-05-02;-;B_J;0.94
TW HYA;TW HYA;11:01:51.56;-34:42:09.1;106.21P2.001;2020-12-04;Coronography;B_H,P0-90;0.57
TW HYA;TW HYA;11:01:51.56;-34:42:09.1;106.21P2.001;2020-12-08;Coronography;B_H,P0-90;0.47
TW HYA;TW HYA;11:01:51.56;-34:42:09.1;106.21P2.001;2020-12-12;Coronography;B_H,P0-90;0.38
V CS CHA;CS CHA;11:02:25.78;-77:33:33.9;0100.C-0329(A;2019-02-20;Coronography;B_KS;0.74
HD 96042;HD 96042;11:03:40.45;-59:25:59.5;099.C-0891(B);2017-06-18;Coronography;B_H;0.78
CT_CHA;CT_CHA;11:04:08.69;-76:27:16.7;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
CT_CHA;CT_CHA;11:04:08.69;-76:27:16.7;1100.C-0481(D;2018-02-25;Coronography;B_H;0.45
ASS CHA T 2-21;ASS CHA T 2-21;11:06:15.15;-77:21:51.3;1104.C-0415(A;2020-02-24;Coronography;B_H;0.55
ASS CHA T 2-21;ASS CHA T 2-21;11:06:16.54;-77:21:51.3;1104.C-0415(A;2020-01-12;Coronography;B_H;0.58
DI_CHA;DI_CHA;11:07:20.35;-77:38:08.1;198.C-0209(F);2017-03-21;Coronography;B_H;0.74
ASS CHA T 1-16;ASS CHA T 1-16;11:07:57.96;-77:38:42.4;1104.C-0415(E;2020-01-09;Coronography;B_H;0.55
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;096.C-0248(C);2016-02-21;Coronography;B_J;1.53
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;099.C-0147(A);2017-05-14;Coronography;B_H;1.56
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;2102.C-5050(A;2019-04-09;Coronography;B_KS;0.92
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;2102.C-5050(A;2019-05-23;Coronography;B_KS;0.48
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;2102.C-5050(A;2019-05-24;Coronography;B_KS;0.67
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;106.21HJ.001;2021-01-16;Coronography;B_KS,P0-90;0.66
HD  97048;HD  97048;11:08:03.10;-77:39:17.3;106.21HJ.001;2021-01-28;Coronography;B_KS,P0-90;0.58
V HP CHA;HP CHA;11:08:15.04;-77:33:51.8;0102.C-0561(B;2019-01-25;-;B_J;0.93
V HP CHA;HP CHA;11:08:15.04;-77:33:51.8;0102.C-0561(B;2019-03-05;-;B_J;0.57
V HP CHA;HP CHA;11:08:15.04;-77:33:51.8;0102.C-0561(B;2019-03-27;-;B_J;0.59
V HP CHA;HP CHA;11:08:15.04;-77:33:51.8;1104.C-0415(A;2020-01-13;Coronography;B_H;0.44
VZ CHA;VZ CHA;11:09:23.58;-76:23:20.0;1100.C-0481(Q;2018-02-28;Coronography;B_H;1.11
V WX CHA;WX CHA;11:09:58.60;-77:37:08.8;0102.C-0243(A;2019-04-01;-;B_H;0.84
WW CHA;WW CHA;11:10:00.57;-76:34:56.9;098.C-0486(A);2017-03-12;Coronography;B_H;0.49
V WY CHA;WY CHA;11:10:07.31;-76:29:38.3;0102.C-0162(A;2019-02-18;-;B_H;0.65
HEN 3-600;HEN 3-600;11:10:27.55;-37:31:49.9;098.C-0468(C);2017-03-05;Coronography;B_H;1.24
HEN 3-600;HEN 3-600;11:10:27.55;-37:31:49.9;098.C-0468(C);2017-03-07;Coronography;B_H;0.56
GLASS Q;GLASS Q;11:10:37.36;-77:32:35.5;1104.C-0415(E;2020-01-21;-;B_H;0.5
CHX 18N;CHX 18N;11:11:46.03;-76:20:05.2;1104.C-0415(A;2020-01-30;Coronography;B_H;0.76
SZ  41;SZ  41;11:12:23.82;-76:37:05.7;1104.C-0415(A;2020-02-18;Coronography;B_H;0.57
CV_CHA;CV_CHA;11:12:25.58;-76:44:27.2;096.C-0333(A);2016-03-26;Coronography;B_J;1.69
CV_CHA;CV_CHA;11:12:25.58;-76:44:27.2;096.C-0333(A);2016-03-26;-;B_J;1.69
ASS CHA T 2-54;ASS CHA T 2-54;11:12:43.18;-77:22:20.7;1104.C-0415(A;2020-02-19;Coronography;B_H;0.79
ASS CHA T 2-54;ASS CHA T 2-54;11:12:43.18;-77:22:20.7;1104.C-0415(A;2020-02-23;Coronography;B_H;0.55
ASS CHA T 2-54;ASS CHA T 2-54;11:12:43.18;-77:22:20.7;1104.C-0415(A;2020-02-29;Coronography;B_H;0.68
WW CHA;WW CHA;11:17:36.87;-77:04:38.4;098.C-0486(A);2017-03-13;Coronography;B_H;0.6
WW CHA;WW CHA;11:17:36.87;-77:04:38.4;1104.C-0415(A;2020-03-21;Coronography;B_H;0.73
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0101.C-0464(A;2018-06-05;Coronography;B_H;1.27
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0101.C-0464(A;2018-06-06;Coronography;B_H;1.03
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0101.C-0153(A;2019-02-23;Coronography;B_H;0.76
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0101.C-0153(A;2019-03-29;Coronography;B_H;1.03
